CONTROLE DE PROCESSOS (TEMPO MÉDIO NA UNIDADE);;;;;;;;;;;;;
NÚMERO DO PROCESSO (SIPAC/SEI!);DATA DE ENTRADA (RECEBIMENTO OU ABERTURA);RESPONSÁVEL PELO RECEBIMENTO / ABERTURA;LOCAL DE ORIGEM;ASSUNTO DETALHADO (SIPAC / SEI!);DESPACHO / AÇÃO A SER EXECUTADA (RESUMIDO);PROCESSO SOBRESTADO?;MOTIVO DO SOBRESTAMENTO;TEMPO DE SOBRESTAMENTO (DIAS);DATA DE ENCAMINHAMENTO (SAÍDA);RESPONSÁVEL PELO ENCAMINHAMENTO (SAÍDA);DESPACHO / AÇÃO DE ENCAMINHAMENTO (RESUMIDO);LOCAL DE DESTINO;TEMPO DO PROCESSO NO SETOR (DIAS)
23113.044777/2022-83;7/10/2022;Eloisa;STI;AQUISIÇÃO DE ESTAÇÕES DE TRABALHO - DESKTOP;Solicitamos emissão de portaria de equipe de planejamento de contratação para aquisição de Desktops;NÃO;;0;10/10/2022;Eloisa;"Após juntada da Portaria de formalização da Equipe de Planejamento da Contratação, devolvo processo para continuidade da instrução processual, com a juntada dos demais documentos de planejamento da contratação.
Aprova-se a continuidade do pleito, considerando a comprovada relevância da demanda para alcance dos objetivos institucionais da Universidade Federal de Sergipe, sobretudo no seu quesito de manutenção expansão da infraestrutura de TIC.";STI;3
23113.036051/2021-75;10/10/2022;Eloisa;CAEFI;AQUISIÇÃO DE TRANSFORMADOR 69KV;"Após análise dos orçamentos apresentados pela Pró-Reitoria de Planejamento (PROPLAN), consideramos
satisfatórios os valores de referência apresentados, tendo em vista que os preços de base estão dentro dos parâmetros
estabelecidos pela legislação vigente";NÃO;;0;10/10/2022;Sérgio;Encaminho a presente instrução processual, após manifestação da CAEFI, para continuidade dos trâmites da fases internas e externas do processo licitatório, visando operar a repetição da licitação por PREGÃO ELETRÔNICO TRADICIONAL.;DRM;0
23113.044282/2022-62;7/10/2022;Sérgio;DOFIS;"REFORMA PARA REFORÇO ESTRUTURAL DOS AMBULATÓRIOS (INFANTIL E ADULTO), BLOCO 03 (SALA DE ESPERA / RAIO X / ATENDIMENTO) DO DEPARTAMENTO DE ODONTOLOGIA DO HOSPITAL UNIVERSITÁRIO / UNIVERSIDADE
FEDERAL DE SERGIPE, ARACAJU/SE,";"Após considerar satisfatório o valor de referência, estimado com base em planilha elaborada
por engenheira orçamentista em sistema ORSE.
";NÃO; ;0;10/10/2022;Sérgio;"Encaminho processo para prosseguimento das fases internas e externas da licitação, após manifestação da CAEFI e comprovação de registro no PGC 2023.
'";DRM;3
23113.007682/2022-26;10/10/2022;Eloisa;CAEFI;CONTRATAÇÃO DE EMPRESA DE MANUTENÇÃO EM ESTUFAS DAS UNIDADES DA UFS;"Após considerar satisfatório o valor de referência calculado com base na média de preços, que
foi atualizado nos documentos de planejamento.";NÃO;;0;10/10/2022;Sérgio;"Encaminho o presente processo, que trata da contratação de empresa especializada em serviços de manutenção preventiva e corretiva (com troca de peças fornecidas pela empresa), de estufas agrícolas (Casas de vegetação do departamento de Engenharia Agronômica), retirada de plástico e telas sombrite danificados, e instalação de novos plásticos e tela sombrite de 50% com recuperação de estruturas metálicas, incluído bancadas e trocas de molas e demais acessórios e recuperação dos sistemas de irrigação (fornecidas pela empresa), localizadas no departamento de Agronomia da Universidade Federal de Sergipe, para avaliação dessa Pró-Reitoria, indicando:1. Se há/haverá disponibilidade orçamentária para o pleito nos exercícios de 2022 ou 2023, no valor estimado de R$ 304.333,33, considerando que os valores previstos na PLOA 2023 são os mesmos da LOA 2022.
Em caso positivo, encaminhar ao DRM para licitação, onde, caso o empenho e contrato sejam emitidos em 2023, há necessidade de inclusão da da demanda no PGC 2023 (antigo PAC), devendo essa ação, que possui janela de adequação aberta até 15/11/2022, ser executada, em regra, pela INFRAUFS (solicitante).";PROAD;0
23113.044859/2022-03;10/10/2022;Eloisa;DLES;SOLICITAÇÃO DE COMPRA DE MATERIAL PERMANENTE PELA VERBA DO INGLÊS SEM FRONTEIRAS, CONFORME PROCESSO DETALHADO EM ANEXO.;Para análise e providências;NÃO;;0;10/10/2022;Sérgio;"Em atenção à presente solicitação oriunda da Coordenação do Programa INGLÊS SEM FRONTEIRAS (ISF) na UFS, e considerando:
1. A competência para instruir processos relacionados a TIC, conforme Instrução Normativa nº 04/2019;
2. O tempo reduzido para instrução de processo licitatório próprio, tendo em vista a premente finalização do exercício de 2022;
3. A quantidade reduzida de equipamentos solicitados.
Questionamos se a presente demanda pode ser incluída em processo em andamento nessa STI para atendimento ao Termo de Execução Descentralizada, somando os quantitativos ora solicitados pelo ISF, caso as características técnicas sejam compatíveis.
Em caso positivo, solicito juntada da presente demanda, considerando a disponibilidade orçamentária de R$ 22.000,00 (vinte e dois mil reais) na ação 20GK.
Em caso negativo, solicito indicação de possíveis formas de aquisição que atendam aos condicionantes citados.";STI;0
23113.042057/2022-94;10/10/2022;Eloisa;COPEC;CONVÊNIO ENTRE A UFS E O HOSPITAL UNIVERSITÁRIO DE LAGARTO/HUL, SOB A GESTÃO DA EBSERH, VISANDO AMPLIAR O PROGRAMA ENSINO-PESQUISA-EXTENSÃO-SERVIÇO EM SAÚDE, COM PRÁTICAS ACADÊMICAS.;"Após o parecer favorável da PGE, seguem os autos para análise quanto ao envio ao Gabinete do Reitor, para
assinatura do Convênio a ser celebrado com o Hospital Universitário de Lagarto sob a gestão da Empresa Brasileira
de Serviços Hospitalares-HUL/EBSERH.";NÃO;;0;10/10/2022;Eloisa;Após análise, encaminho o processo para assinatura do Magnífico Reitor no termo de convênio a ser celebrado com o Hospital Universitário de Lagarto sob a gestão da Empresa Brasileira de Serviços Hospitalares-HUL/EBSERH, e posterior devolução à COPEC. ;GR;0
23113.036051/2021-75;11/10/2022;Eloisa;DRM;AQUISIÇÃO DE TRANSFORMADOR 69KV;"Com o objetivo de atender as recomendação da PGE e ainda a Instrução Normativa Nº 73, de 5 de agosto de 2020, é necessário apresentar as devidas justificativas pela não atualização dos parâmetros I, II e III, bem como anexar a solicitação formal das cotações, a qual não visualizamos no pressente processo.

É necessário ainda as informações da disponibilidade orçamentária com relação ao valor estimado da contratação de R$ 1.230.248,67.";NÃO;;0;11/10/2022;Sérgio;Devolvemos o presente processo para prosseguimento e nos colocamos à disposição para eventuais esclarecimentos.;DRM;0
23113.037207/2022-94;11/10/2022;Eloisa;CANUT;LICITAÇÃO DOS SERVIÇOS DE ALIMENTAÇÃO COLETIVA DOS RESTAURANTES UNIVERSITÁRIOS DA UFS;Encaminho a documentação para vossa análise e encaminhamentos a respeito da licitação dos serviços de alimentação dos Restaurantes Universitários da UFS. ;NÃO;;1;13/10/2022;Sérgio;Para dar análise e apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.;CAEFI;1
23113.007139/2022-40;11/10/2022;Eloisa;COPEC;LICITAÇÃO PARA AQUISIÇÃO DE LICENÇA DE SOFTWARE DE BUSCA DE ANTERIORIDADE E PROSPECÇÃO TECNOLÓGICA COM ANÁLISES ESTATÍSTICAS;Para análise quanto à regular instrução do processo e quanto ao envio ao GR para assinatura do contrato a ser firmado com a AXONAL CONSULTORIA TECNOLÓGICA.;NÃO;;0;11/10/2022;Eloisa;"Para assinatura do Magnífico Reitor no Termo de Contrato a ser firmado com a AXONAL CONSULTORIA TECNOLÓGICA.
";GR;0
23113.021616/2021-74;13/10/2022;Eloisa;COPEC;CONSTRUÇÃO DA ACADEMIA;Para encaminhar para assinatura do Reitor. ;NÃO;;0;13/10/2022;Eloisa;"Para assinatura do Magnífico Reitor no contrato com a empresa J A CONSTRUTORA LOCADORA E SERVIÇOS LTDA - ME.

";GR;0
23113.042876/2022-97;13/10/2022;Eloisa;COPEC;CONVÊNIO COM A UNIVERSIDADE DE SORBONNE (FRANÇA).;Para encaminhar para assinatura do Reitor. ;NÃO;;0;13/10/2022;Eloisa;Para assinatura do Magnífico Reitor no Convênio entre UFS e Universidade de Sorbonne.;GR;0
23113.044192/2022-67;13/10/2022;Eloisa;COPEC;CONVÊNIOS - UNIVERSIDADES ESTRANGEIRAS;Para encaminhar para assinatura do Reitor. ;NÃO;;0;13/10/2022;Eloisa;Para assinatura do Magnífico Reitor no Convênio entre UFS e Universidade de Aix Marselle,;GR;0
23113.013836/2022-29;13/10/2022;Eloisa;DEACON;CONTRATAÇÃO DE EMPRESA TERCEIRIZADA PARA PRESTAÇÃO DE SERVIÇO DE NATUREZA CONTÍNUA NO CARGO DE TRATADOR DE ANIMAIS.;Para providências após anexados os documentos solicitados.;NÃO;;0;13/10/2022;Sérgio;"A fim de possibilitar melhor compreensão, tanto da PROPLAN quanto de outros setores que futuramente analisem esse processo, solicito posicionamento desse Departamento quanto aos pontos levantados nos despachos presentes às páginas 117 (PROPLAN) e 137 (CAEFI), indicando como foi tratada cada observação realizada.
";DEACON;0
23113.039160/2022-34;13/10/2022;Eloisa;CAEFI;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE ESQUADRIAS NA DIDÁTICA VII;Para manifestação quanto ao PAC, após considerar satisfatório o valor de referência, calculado com base na média de preços.;NÃO;;0;13/10/2022;Sérgio;Todas as janelas de alterações para inclusão de demandas foram esgotadas, logo, não há possibilidade de inclusão no sistema desse pedido. Assim, tal demanda estaria incluída nas exceções da regra, sem qualquer prejuízo no seu prosseguimento, o que está autorizado pela PROPLAN, em relação a esse ponto.;DRM;0
23113.037207/2022-94;13/10/2022;Eloisa;CAEFI;LICITAÇÃO DOS SERVIÇOS DE ALIMENTAÇÃO COLETIVA DOS RESTAURANTES UNIVERSITÁRIOS DA UFS.;"Após considerar satisfatório o valor de referência. Não foi observada grandes variações de preços pesquisados
(dentro da margem aceitável de variação - até 30%), exceto pelo item 03 do Grupo 01, que utilizou a mediana.";NÃO;;0;14/10/2022;Sérgio;solicito esclarecimento quanto às recomendações constantes no e-mail encaminhado por essa Pró-Reitoria em 03/10/2022, páginas 134-136.;CANUT;1
23113.044062/2022-85;14/10/2022;Eloisa;COPEC;"CONVÊNIO ENTRE A UFS E A UP BUSINESS LTDA PARA FINS DE OPERACIONALIZAÇÃO DE PROGRAMAS DE ESTÁGIO CURRICULAR.
";Para encaminhar para assinatura do Reitor. ;NÃO;;0;14/10/2022;Eloisa;"Após análise, encaminho o presente processo para assinatura no o Convênio de estágio a ser celebrado com a Agência de Integração UP Business Ltda, e posterior devolução à COPEC.
";GR;0
23113.031220/2021-47;14/10/2022;Eloisa;COPEC;PREGÃO ELETRÔNICO PARA CONTRATAÇÃO DE PESSOA JURÍDICA PARA A PRESTAÇÃO DE SERVIÇO TÉCNICO TERCEIRIZADO DE AUXILIAR DE SERVIÇOS ADMINISTRATIVOS, ASSISTENTE ADMINISTRATIVO I E ASSISTENTE DE PROCESSOS ORGANIZACIONAIS;Para encaminhar para assinatura do Reitor. ;NÃO;;0;14/10/2022;Eloisa;Após análise encaminho o presente processo para assinatura do Magnífico Reitor no 1º termo de apostila ao contrato 64/2021, e posterior devolução à COPEC. ;GR;0
23113.037207/2022-94;17/10/2022;Eloisa;CANUT;LICITAÇÃO DOS SERVIÇOS DE ALIMENTAÇÃO COLETIVA DOS RESTAURANTES UNIVERSITÁRIOS DA UFS.;"Sugiro manter o texto atual na íntegra, cuja migração do gerenciamento da vendas das refeições para a
responsabilidade da empresa está condicionada às condições desenvolvidas pela administração da UFS, conforme os
itens 7.21, 12.29.5, 12.29.7 e 12.29.8 do Termo de Referência.";NÃO;;0;17/10/2022;Eloisa;"Encaminho o presente processo para conclusão da fase interna e prosseguimento da fase externa da licitação, por meio de Pregão Eletrônico Tradicional
A CAEFI se manifestou sobre a pesquisa de preços (página 133) indicando sua integridade.";DRM;0
23113.013836/2022-29;17/10/2022;Eloisa;DEACON;CONTRATAÇÃO DE EMPRESA TERCEIRIZADA PARA PRESTAÇÃO DE SERVIÇO DE NATUREZA CONTÍNUA NO CARGO DE TRATADOR DE ANIMAIS;Para providências após anexados os documentos solicitados;NÃO;;0;17/10/2022;Eloisa;Por solicitação.;DEACON;0
23113.013836/2022-29;17/10/2022;Eloisa;DEACON;CONTRATAÇÃO DE EMPRESA TERCEIRIZADA PARA PRESTAÇÃO DE SERVIÇO DE NATUREZA CONTÍNUA NO CARGO DE TRATADOR DE ANIMAIS;Para providências após anexados os documentos pendentes;NÃO;;0;17/10/2022;Eloisa;Ademais, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.;CAEFI;0
23113.009379/2022-88;18/10/2022;Eloisa;DOFIS;REFORMA E REFORÇO ESTRUTURAL DOS PRÉDIOS DO DEPARTAMENTO DE CIÊNCIA E ENGENHARIA DE MATERIAIS (DCEM/CCET);"Conforme solicitado, encaminhamos para análise e demais providências os documentos necessários
para subsidiar a licitação do objeto.";NÃO;;0;18/10/2022;Sérgio;"Após análise prévia do conteúdo processual, devolvemos para a seguinte adequação/manifestação.
";DOFIS;0
23113.039160/2022-34;18/10/2022;Sérgio;DEACON;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE ESQUADRIAS NA DIDÁTICA VII;Informo que esse entendimento de mensuração de custos é a opinião vigente na PROPLAN, assim, é importante que em novos processos os solicitantes procurem observar a melhor forma de detalhamento.;NÃO;;0;18/10/2022;Sérgio;Informo que esse entendimento de mensuração de custos é a opinião vigente na PROPLAN, assim, é importante que em novos processos os solicitantes procurem observar a melhor forma de detalhamento.;PROAD;0
23113.034567/2022-79;18/10/2022;Eloisa;DOFIS;SERVIÇO DE PSICOLOGIA APLICADA (SPA) - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA OBRA PARA OS REVESTIMENTOS ACÚSTICOS NAS DEPENDÊNCIAS DOS MÓDULOS HABITÁVEIS DO SERVIÇO DE PSICOLOGIA APLICADA (SPA) DA UNIVERSIDADE FEDERAL DE SERGIPE (UFS), CAMPUS SÃO CRISTÓVÃO.;"Considerando a demanda necessária para o devido funcionamento do SPA;
Consideramdo que a licitação anterior foi deserta;Envio orçamento e termo de referência atualizados para análise e demais encaminhamentos.";NÃO;;0;18/10/2022;Sérgio;Encaminho para análise e verificação de integridade do preço médio do futuro certame licitatório.;CAEFI;0
23113.009379/2022-88;18/10/2022;Eloisa;DOFIS;REFORMA E REFORÇO ESTRUTURAL DOS PRÉDIOS DO DEPARTAMENTO DE CIÊNCIA E ENGENHARIA DE MATERIAIS (DCEM/CCET);Considerando a tramitação do processo até a finalização da contratação, informamos que a previsão de emissão da ordem de serviço para execução dos serviços contratados é em janeiro de 2023.;NÃO;;0;18/10/2022;Sérgio;Encaminho para análise e verificação de integridade do preço médio do futuro certame licitatório.;CAEFI;0
23113.009379/2022-88;18/10/2022;Eloisa;CAEFI;REFORMA E REFORÇO ESTRUTURAL DOS PRÉDIOS DO DEPARTAMENTO DE CIÊNCIA E ENGENHARIA DE MATERIAIS (DCEM/CCET);O valor de referência foi avaliado e aprovado pelo próprio DOFIS.;NÃO;;;18/10/2022;Sérgio;"Encaminho o presente processo para conclusão da fase interna e prosseguimento da fase externa da licitação, por meio da modalidade licitatória melhor indicada por esse Departamento. Acessoriamente, informamos que:
1. A CAEFI se manifestou sobre a pesquisa de preços (página 208) indicando sua integridade.
2. A previsão da demanda está devidamente registrada no Plano de Compras Anual 2023, conforme página 25.
3. A fase de Planejamento da Contratação contempla todos os itens obrigatórios (DFD, Estudo Técnico Preliminar da Contratação, Análise de Riscos, Termo de Referência e Pesquisa de Preços).
4. Há necessidade de formalização de contrato administrativo, o que deve ser submetido à COPEC para inclusão de minuta.
6. Tendo em vista que a execução da obra só se dará em 2023, a PROPLAN declara que há disponibilidade orçamentária para cumprimento integral da demanda no valor estimado de R$ 447.338,95 (quatrocentos e quarenta e sete mil, trezentos e trinta e oito reais e noventa e cinco centavos) por meio da FONTE 8100, PTRES 170344, Ação Orçamentária 8282 - Reestruturação e Expansão de Instituições Federais - Sergipe, conforme previsão na PLOA 2023, disponível no link https://www.gov.br/economia/pt-br/assuntos/planejamento-e-orcamento/orcamento/orcamentos-anuais/2023/ploa";DRM;0
23113.034567/2022-79;18/10/2022;Eloisa;DOFIS; SERVIÇO DE PSICOLOGIA APLICADA (SPA) - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA OBRA PARA OS REVESTIMENTOS ACÚSTICOS NAS DEPENDÊNCIAS DOS MÓDULOS HABITÁVEIS DO SERVIÇO DE PSICOLOGIA APLICADA (SPA) DA UNIVERSIDADE FEDERAL DE SERGIPE (UFS), CAMPUS SÃO CRISTÓVÃO.;As planilhas orçamentárias são específicas da área de engenharia, tiveram como base fontes oficiais (ORSE - Orçamento de Obras de Sergipe, SINAPI - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil e, residualmente, sítios eletrônicos especializados) e foram assinadas por profissional habilitado. Desta forma, o valor de referência foi avaliado e aprovado pelo próprio DOFIS.;NÃO;;;18/10/2022;Sérgio;"Encaminho o presente processo para REPETIÇÃO do processo licitatório, após atualização dos orçamentos por parte da DOFIS.

1. A CAEFI se manifestou sobre a pesquisa de preços (página 378) indicando sua integridade.

2. A PROPLAN já se manifestou sobre o PCA 2022 à página 77.

3. Já houve indicação de FONTE e PTRES e atestamos a existência de recursos orçamentários no exercício de 2022 para cobertura da despesa.";DRM;0
23113.045362/2022-02;18/10/2022;Eloisa;CAEFI;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DOS SERVIÇOS DE CONSERTO, REVISÃO, LIMPEZA E LUBRIFICAÇÃO DE EQUIPAMENTOS FOTOGRÁFICOS, COM FORNECIMENTO DE MATERIAIS, PEÇAS E COMPONENTES A FIM DE DEIXAR O EQUIPAMENTO EM CONDIÇÕES ORIGINAIS DE USO.;Solicitamos abertura de procedimento licitatório para manutenção de 02 (duas) lentes fotográficas que são utilizadas diariamente na produção de material fotojornalístico disponibilizados no site e nas redes sociais da UFS. ;NÃO;;;19/10/2022;Sérgio;Considerando o valor estimado do pleito, questiono previamente se há viabilidade de condução por meio de DISPENSA DE LICITAÇÃO.;DRM;1
