CONTROLE DE PROCESSOS (TEMPO MÉDIO NA UNIDADE);;;;;;;;;;;;;
;;;;;;;;;;;;;
NÚMERO DO PROCESSO (SIPAC/SEI!);DATA DE ENTRADA (RECEBIMENTO OU ABERTURA);RESPONSÁVEL PELO RECEBIMENTO / ABERTURA;LOCAL DE ORIGEM;ASSUNTO DETALHADO (SIPAC / SEI!);DESPACHO / AÇÃO A SER EXECUTADA (RESUMIDO);PROCESSO SOBRESTADO?;MOTIVO DO SOBRESTAMENTO;TEMPO DE SOBRESTAMENTO (DIAS);DATA DE ENCAMINHAMENTO (SAÍDA);RESPONSÁVEL PELO ENCAMINHAMENTO (SAÍDA);DESPACHO / AÇÃO DE ENCAMINHAMENTO (RESUMIDO);LOCAL DE DESTINO;TEMPO DO PROCESSO NO SETOR (DIAS)
23113.007187/2022-05;2/9/2022;Eloisa;GR;APURAÇÃO DE RESPONSABILIDADE EMPRESA ACESSO PRODUTOS ALIMENTICIOS EIRELI, CNPJ 08.998.109/0001-71;Restituo processo para sua sequencia conforme fluxo pactuado.;SIM;Aguardando informações para proceder o despacho.;3;5/9/2022;Estela; Segue processo para   providências quanto a aplicação da ADVERTÊNCIA e MULTA LEVE;CANUT;0
23113.035448/2022-57;5/9/2022;Estela;GR;ALTERAÇÃO NO FATURAMENTO NO CONSUMO DE ÁGUA REFERENTE AO IMÓVEL LOCALIZADO NA RUA LAGARTO (ANTIGA SEDE DA FAPESE) MÊS DE JULHO.;Para guarda e avaliação sobre suspensão dos serviços.;SIM;Aguardando finalizar processo eleitoral para dar andamento a solicitação;1;6/9/2022;Estela;Favor informar se  o pagamento das faturas em questão  está sendo efetuado, visto que,  a UFS poderá ficar em situação de inadimplência junto ao DESO.;DGASET;0
23113.037921/2022-22;5/9/2022;Eloisa;COPEC;ESTABELECE PROCEDIMENTOS DE GESTÃO E FISCALIZAÇÃO CONTRATUAL.;Após ciência do conteúdo da IN n. 10/2022, a qual será apresentada a cada setor quando da solicitação de indicação de fiscais e gestores de contratos.;NÃO;;0;5/9/2022;Eloisa;Arquivado.;PROPLAN;0
23113.037854/2022-85;5/9/2022;Eloisa;CAEFI;PREGÂO ELETRÔNICO Nº.: 70/2022 MATERIAL PERMANENTE PARA O HOSPITAL VETERINÁRIO UNIVERSITÁRIO - HVU/UFS;Para se manifestar com relação ao PAC.;NÃO;;0;5/9/2022;Estela;Devido a processo de migração de dados do sistema do PAC antigo (2022) para o novo (2023), os mesmos estão inoperantes. Impossibilitando sua alimentação. A demanda será devidamente registrada e cadastrada quando o sistema estiver em conformidade. Encaminho para prosseguimento visando não frustrar a necessidade institucional.;DRM;0
23113.030951/2022-32;6/9/2022;Estela;GR;ALTERAÇÃO NO FATURAMENTO NO CONSUMO DE ÁGUA REFERENTE AO IMÓVEL LOCALIZADO NA RUA LAGARTO (ANTIGA SEDE DA FAPESE) MES DE MAIO E JUNHO.;Encaminho presente processo para guarda e acompanhamento. Caso haja fato novo encaminhar para reitoria para deliberação.;NÃO;;0;6/9/2022;Estela;Favor informar se  o pagamento das faturas em questão  está sendo efetuado, visto que,  a UFS poderá ficar em situação de inadimplência junto ao DESO.;DGASET;0
23113.031913/2022-54;6/9/2022;Estela;DOFIS;PROCEDIMENTO REFERENTE A UMA POSSÍVEL APLICAÇÃO DE PENALIDADES CONTRA A EMPRESA CSX CONSTRUÇÕES LTDA. PELA NÃO EXECUÇÃO DO CONTRATO Nº 070/2021-UFS;"Segue anexa manifestação da comissão de fiscalização do contrato sugerindo penalidades por descumprimento contratual, para análise, ponderação e demais encaminhamentos.
";NÃO;;0;6/9/2022;Estela;Segue processo para análise e parecer jurídico quanto a aplicação da penalidade sugerida pela comissão de fiscalização.;PGE;0
23113.040570/2022-85;12/9/2022;Eloisa;STI;LICITAÇÃO DE CABEAMENTO ESTRUTURADO - 2022;Para indicação do integrante administrativo e formalizar a portaria de criação da equipe de planejamento de contratação.;NÃO;;0;12/9/2022;Sérgio;Devolvo processo para continuidade da instrução processual, com a juntada dos demais documentos de planejamento da contratação, e aprova-se a continuidade do pleito.;STI;0
23113.015179/2022-46;12/9/2022;Eloisa;COPEC;LICITAÇÃO PARA AQUISIÇÃO DE LICENÇA DE SOFTWARE ANTIPLÁGIO;Para análise quanto a regular instrução do processo e envio ao GR para assinatura do contrato a ser firmado com a Turnitin Brazil Licenciamento de Serviços de Computação Ltda.;NÃO;;0;12/9/2022;Eloisa;Encaminho o presente processo para assinatura do Reitor e posterior envio à COPEC. ;GR;0
23113.030951/2022-32;12/9/2022;Eloisa;DEGASET;ALTERAÇÃO NO FATURAMENTO NO CONSUMO DE ÁGUA REFERENTE AO IMÓVEL LOCALIZADO NA RUA LAGARTO (ANTIGA SEDE DA FAPESE) MES DE MAIO E JUNHO.;Aguardando resposta do Reitor sobre o procedimento do pagamento das contas.;NÃO;;0;12/9/2022;Eloisa;Processo temporariamente arquivado, conforme manifestação do Magnífico Reitor, tendo em vista que não houve deliberação para suspensão dos serviços;PROPLAN;0
23113.035448/2022-57;12/9/2022;Eloisa;DEGASET;ALTERAÇÃO NO FATURAMENTO NO CONSUMO DE ÁGUA REFERENTE AO IMÓVEL LOCALIZADO NA RUA LAGARTO (ANTIGA SEDE DA FAPESE) MÊS DE JULHO.;Aguardando resposta do Reitor sobre o procedimento do pagamento das contas.;NÃO;;0;12/9/2022;Eloisa;Processo temporariamente arquivado, conforme manifestação do Magnífico Reitor, tendo em vista que não houve deliberação para suspensão dos serviços;PROPLAN;0
23113.005598/2020-40;12/9/2022;Eloisa;COPEC;CONCLUSÃO DO PRÉDIO PARA ABRIGAR O DEPARTAMENTO DE CIÊNCIAS FLORESTAL (DCF) E O DEPARTAMENTO ENGENHARIA AGRONÔMICA (DEA) NA UNIVERSIDADE FEDERAL DE SERGIPE (UFS).;Para análise quanto à regular instrução processual e envio ao GR para assinatura do 5º aditivo ao contrato 037/2020-UFS.;NÃO;;0;12/9/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor no 5º aditivo do contrato 037/2020-UFS e posterior devolução à COPEC.;GR;0
23113.036051/2021-75;12/9/2022;Eloisa;DIGEN;AQUISIÇÃO DE TRANSFORMADOR 69KV;Por solicitação.;NÃO;;0;12/9/2022;Sérgio;Solicito esforços dessa Divisão no atendimento da solicitação presente no despacho do DRM, página 344, para que seja possível a repetição do processo licitatório, uma vez que com a descentralização orçamentária realizada, teríamos somente até o final desse exercício para executar os empenhos correspondentes.;DIGEN;0
23113.040734/2022-22;12/9/2022;Wilas;PROPLAN;CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DE PROJETO EXECUTIVO DO JARDIM BOTÂNICO UNIVERSITÁRIO NO CAMPUS DO SERTÃO.;Aberto pela PROPLAN;NÃO;;1;13/9/2022;Sérgio;Entendemos que o objeto é justo e se caracteriza como demanda devidamente alinhada ao planejamento estratégico da Instituição, sobretudo no quesito de melhoramento da infraestrutura, o que significa a autorização de prosseguimento nessa seara, contudo, para que possa haver uma análise mais embasada, sob a ótica orçamentária, faz-se necessário que seja informada a previsão de custo da intervenção, tendo em vista a reduzida capacidade de investimento da UFS no Projeto de Lei Orçamentária 2023.;DOFIS;0
23113.000903/2013-41;13/9/2022;Eloisa;COPEC;CONTRATAÇÃO DE SERVIÇOS DE TOPOGRAFIA PARA LEVANTAMENTO E ACOMPANHAMENTO DA ÁREA E OBRAS DE URBANIZAÇÃO, INFRAESTRUTURA E EDIFICAÇÕES QUE CONFORMARÃO O EMPREENDIMENTO DO CAMPUS DO SERTÃO (FAZENDA EXPERIMENTAL) DA UFS NO MUNICÍPIO DE NS. SRA. DA GLÓRIA/ SE.;Para encaminhar o 8° Termo aditivo pra assinatura do Reitor.;NÃO;;0;13/9/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor no 8º termo aditivo do contrato 096/2018-UFS e posterior devolução à COPEC. ;GR;0
23113.040821/2022-98 ;13/9/2022;Sérgio;DRM;ADESÃO A ATA DE REGISTRO DE PREÇO PARA AQUISIÇÃO DE TELEVISOR DE 75 POL;Para conhecimento da solicitação, análise da CAEFI e manifestação quanto ao PAC.;NÃO;;0;13/9/2022;Eloisa;Por solicitação.;DEACON;0
23113.015130/2020-17;13/9/2022;Sérgio;COPEC;PRORROGAÇÃO DO PRAZO DA VIGÊNCIA DO CONTRATO N. 047/2017-UFS (SERVIÇOS DE MANUTENÇÃO PREVENTIVA DE EQUIPAMENTOS DA STI, COM TROCA DE PEÇAS).;Para encaminhar o 9° Termo aditivo pra assinatura do Reitor.;NÃO;;0;13/9/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor no 9° termo aditivo do contrato 047/2017-UFS e posterior devolução à COPEC. ;GR;0
23113.045354/2021-27;13/9/2022;Eloisa;DOFIS;REFORMA DO AUDITÓRIO DO CAMPUS DE ITABAIANA ALBERTO CARVALHO;Envio orçamento, cronograma e termo de referência atualizados para análise e demais encaminhamentos.;NÃO;;0;14/9/2022;Sérgio;Encaminho o presente processo para repetição do certame após atualização de valores por parte da área solicitante. Algumas observações:;DRM;1
23113.035488/2022-44;13/9/2022;Eloisa;COPEC;TERMO DE AJUSTE DE DIREITOS E OBRIGAÇÕES SOBRE PROPRIEDADE INTELECTUAL SOBRE O DESENHO INDUSTRIAL A SER CELEBRADO ENTRE O INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO - IF GOIANO, UNIVERSIDADE FEDERAL DE SERGIPE, - UFS E UNIVERSIDADE ESTADUAL PAULISTA – UNESP.;Para validar instrução processual e encaminhar o Termo de Propriedade Intelectual, ao GR, para assinatura.;NÃO;;0;14/9/2022;Eloisa;Segue para assinatura do Magnífico Reitor e posterior devolução à COPEC. ;GR;1
23113.041045/2022-64;14/9/2022;Douglas;GR;PROJETO DE REVITALIZAÇÃO DOS LABORATÓRIOS DE INFORMÁTICA E DE EMPREENDEDORISMO, CRIATIVIDADE E INOVAÇÃO DO COLÉGIO DE APLICAÇÃO.;Para levantamento de preços para aquisição dos itens da tabela.;NÃO;;0;15/9/2022;Sérgio;"Em avaliação da lista de equipamentos presentes à página 3, a PROPLAN manifesta que:
1. Os itens TV Smart 50 polegadas, Armário para escritório, Mesa Reta, Conjunto Escolar e Cadeira Secretária constam nos processos de Registro de Preços de MOBILIÁRIO 2. O item Microfones consta em processo de Registro de Preços de EQUIPAMENTOS AUDIOVISUAL E MUSICAIS que está em vias de liberação para o DRM.
3. Temos Projetores em estoque no almoxarifado de itens permanentes, porém não sabemos especificar se atendem aos descritivos desejados.
Os demais itens devem ser direcionados à STI para avaliação, tendo em vista que tratam-se de equipamentos de TIC.
";GR;1
23113.040821/2022-98;14/9/2022;Douglas;DEACON;ADESÃO A ATA DE REGISTRO DE PREÇO PARA AQUISIÇÃO DE TELEVISOR DE 75 POL.;Para análise dos documentos após anexar Orçamento da adesão a ata.;NÃO;;0;14/9/2022;Douglas;"
Para análise da documentação anexada pelo DEACON, conforme despacho supra. Outrossim, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.";CAEFI;0
23113.040665/2022-42;14/9/2022;Eloisa;COPEC;CONVÊNIO ENTRE A UFS E A ATRATIVARH SOLUÇÕES EM RECURSOS HUMANOS LTDA, COM FINS DE OPERACIONALIZAÇÃO DE PROGRAMAS DE ESTÁGIO PARA ALUNOS DA UFS;Seguem os autos para análise quanto ao envio ao Gabinete do Reitor para assinatura.;NÃO;;0;14/9/2022;Eloisa;Segue processo para assinatura do Magnífico Reitor e posterior devolução à COPEC. ;GR;0
23113.041054/2022-15;15/9/2022;Eloisa;CAEFI;COMPRA DE RAÇÃO DE EQUINOS;Para manifestação quanto ao PAC.;NÃO;;0;16/9/2022;Eloisa;Informo que devido a processo de migração de dados do sistema do PAC antigo (2022) para o novo (2023), os mesmos estão inoperantes. ;DRM;1
23113.031913/2022-54;15/9/2022;Eloisa;PGE;PROCEDIMENTO REFERENTE A UMA POSSÍVEL APLICAÇÃO DE PENALIDADES CONTRA A EMPRESA CSX CONSTRUÇÕES LTDA. PELA NÃO EXECUÇÃO DO CONTRATO Nº 070/2021-UFS;"Solicito esclarecer se a diligências objeto da manifestação técnica de fls. 113 foram notificadas à
contratada para apresentação das justificativas e providências adotadas para análise da equipe de fiscalização , conforme
apontado pela Arquiteta subscritora.";NÃO;;0;16/9/2022;Sérgio;Solicito manifestação e esclarecimentos quanto ao disposto na COTA n. 00143/2022/C-PFSE-UFS/PFUFS/PGF/AGU (página 136), a fim de subsidiar análise da PGE.;DOFIS;1
23113.038552/2022-57;15/9/2022;Eloisa;DRM;PREGÂO ELETRÔNICO Nº.: 56/2022 MATERIAL DE CONSUMO PARA O HOSPITAL VETERINÁRIO UNIVERSITÁRIO - HVU / UFS.;Para manifestação com relação ao PAC.;NÃO;;0;16/9/2022;Sérgio;Em atenção ao disposto no despacho presente à página 4581, onde é solicitada a manifestação em relação ao PAC (atual PGC), a Pró-Reitoria de Planejamento se manifesta da seguinte forma:;DRM;1
23113.026994/2022-74;15/9/2022;Eloisa;CEFISCON;CONTRATO 25/2022-ALERTA SERVIÇOS EIRELI;Para ciência do registro da penalidade, do Ofício Nº 0035/2022/DJUR da empresa Alerta e dos despachos da CEFISCON e da PGE (págs. 78 a 242).;NÃO;;0;16/9/2022;Sérgio;Sugerimos que a empresa seja informada da decisão da PGE e aconselhamos o arquivamento do processo, uma vez que a penalidade de advertência já foi registrada no SICAF.;CEFISCON;1
23113.040821/2022-98;15/9/2022;Eloisa;CAEFI;ADESÃO A ATA DE REGISTRO DE PREÇO PARA AQUISIÇÃO DE TELEVISOR DE 75 POL.;"Após análise da pesquisa de preços relacionadas ao processo de aquisição de três aparelhos de
televisão através da adesão à ata do pregão 023/2021, realizamos algumas observações:";NÃO;;0;16/9/2022;Sérgio;Encaminhamos para manifestação do solicitante acerca das ponderações citadas e/ou adequações necessárias.;DEACON;1
23113.038546/2022-25;16/9/2022;Eloisa;DECAV;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PLANEJAMENTO, ORGANIZAÇÃO, COORDENAÇÃO E EXECUÇÃO DOS EVENTOS REALIZADOS PELA UFS.;"Conforme solicitado, infomamos que:
a) As solicitações de orçamentos enviadas às empresas constam nas fls. 20 à 33;b) Como não existem outras licitações na UFS com o mesmo grupo de itens presentes a este processo e considerando a necessidade de adequação às restrições orçamentárias atuais, a estimativa para o quantitativo foi feita levando-se em consideração o número de eventos de gestão em anos anteriores, além de conversas com as pró-reitorias, para que se chegasse a um quantitativo razoável. Além disso, o serviço será utilizado pelo Gabinete do Reitor, pró-reitorias e demais campi. Por fim, entendemos também que não haverá prejuízo à instituição, pois, o pagamento à empresa vencedora do certame será realizado apenas se houver demanda de uso do serviço, e a partir disso, poderemos estimar com maior fidelidade as quantidades de itens numa futura renovação da contratação.
c) Sugerimos o uso do “menor preço”, sendo o valor de referência de R$ 999.400,00 (tabela 02, à fl. 58); 
d) Esta diretoria também concorda com a sugestão da contratação por registro de preços (incisos II e IV do artigo 3°, do Decreto 7.892/13), conforme citado no ETP (fl. 07);

 ";NÃO;;0;16/9/2022;Sérgio;" solicitamos que essa Diretoria atue da seguinte forma:

1. Acesso do sistema PGC 2023 pela pessoa cadastrada;
2. Inclusão de DFD com a demanda ora solicitada (serviços de eventos).
3. Devolução à PROPLAN para prosseguimento.";DECAV;0
23113.040057/2022-65;16/9/2022;Eloisa;CAEFI;ABERTURA DE PROCESSO LICITATÓRIO PARA PRESTADOR DE SERVIÇOS DOD/UFS;Para manifestação quanto ao PAC.;NÃO;;0;19/9/2022;Sérgio;"Solicito manifestação indicando se a presente demanda foi incluída por essa Coordenação no PGC 2023 (antigo PAC), tendo em vista que se trata de objeto que possui contrato continuado vigente.
Adicionalmente, informo que caso a mesma não tenha sido alimentada, está aberta janela de alteração que permite sua inclusão, o que solicito que seja feito";COPEC;3
23113.036051/2021-75;19/9/2022;Eloisa;GR;AQUISIÇÃO DE TRANSFORMADOR 69KV;O processo foi encaminhado ao Prof MIlton Serna, para atualização das proposta. ;SIM;Aguardando orçamentos pelo responsável Milthon Serna.;11;11/10/2022;Sérgio;"Em atenção ao despacho presente á página 397, manifestamos o seguinte:


1. As pesquisas foram conduzidas pelo Professor Milthon Serna, onde, segundo o mesmo, a utilização do Painel de Preços e de contratações semelhantes (Incisos I e II do art. 5º da IN 73/2020) não foi possível, uma vez que não foi encontrado equipamento semelhante e com condições de instalação e frete que atendessem a demanda, sendo assim, partiu-se ao Inciso IV do mesmo artigo. No que tange ao Inciso III, além de a norma não o trazer como prioritário, é compreensível que o tipo de equipamento não seja anunciado em sítios de internet para pronta entrega e atendimento. Sendo assim, a PROPLAN manifesta sua concordância com o alegado pelo docente citado.


2. Em relação às solicitações, ainda na data de ontem essa Pró-Reitoria havia solicitado ao Professor Milthon Serna o envio das solicitações, Após contato telefônico na data de hoje, o mesmo esclareceu que nem todas as pesquisas tiveram solicitações formais, onde, em alguns casos, o contato telefônico foi o meio mais efetivo. Contudo, encaminhou alguns dos pedidos, os quais juntamos ao presente processo, páginas 398-408. Assim como em relação ao item 1, a PROPLAN entende que há situações onde não é possível o cumprimento integral daquilo previsto na IN, pois, em alguns casos, a pesquisa pode se tornar frustrada, sendo assim, autorizamos o prosseguimento com base naquilo levantado.


3. Por fim, em relação à disponibilidade orçamentária, ratificamos a informação constante no despacho dessa Pró-Reitoria à página 384, onde destacamos que os créditos para suportar a futura licitação são compostos por:

3.1 TED firmado com a SESu no valor de R$ 1.200.000,00 (um milhão e duzentos mil reais), conforme comprovações presentes às páginas 385-388.

3.2 Recursos disponíveis na Ação Orçamentária 20RK, Fonte 8100, PTRES 170342, ND 449052, no valor acessório de R$ 30.248,67 (trinta mil, duzentos e quarenta e oito reais e sessenta e sete centavos), o que esperamos nem precisar, uma vez que é esperada a redução dos valores estimados durante o pregão eletrônico. Contudo, atestamos explicitamente que há disponibilidade orçamentária para prosseguimento da presente demanda.


Dessa forma, devolvemos o presente processo para prosseguimento e nos colocamos à disposição para eventuais esclarecimentos.";DRM;11
23113.024374/2022-04;19/9/2022;Eloisa;COGEPRO;REFORMA COM RECUPERAÇÃO ESTRUTURAL NA DIDÁTICA II;Após atualização da planilha, solicitamos criação do PI  e devolver para a COGEPRO para lançar no SIAFI.;NÃO;;0;19/9/2022;Sérgio;solicitamos que o cadastro seja realizado por essa Diretoria e, posteriormente, o processo seja devolvido, com a juntada dessa comprovação, à PROPLAN, para cadastro do Plano Interno.;DOFIS;0
23113.040057/2022-65;19/9/2022;Eloisa;COPEC;ABERTURA DE PROCESSO LICITATÓRIO PARA PRESTADOR DE SERVIÇOS DOD/UFS;Acerca do item de contratação objeto deste processo, apresentamos em anexo ao presente despacho o DFD n. 69/2022, lançado durante o início do corrente ano através do Sistema PGC, com previsão de execução no PCA 2023.;NÃO;;0;19/9/2022;Sérgio;Segue para continuidade após análise da CAEFI e registro de inclusão no PGC 2023.Sugerimos solicitar à área interessada a alteração do assunto detalhado, tendo em vista que não espelha corretamente o objeto e que o processo em todas as suas fases.;DRM;0
23113.030311/2018-69;19/9/2022;Eloisa;COPEC;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE PASSAGEM AÉREA.;Para validar instrução processual e encaminhar o 4º aditivo ao contrato 83/2018, ao GR, para assinatura.;NÃO;;0;19/9/2022;Eloisa;Encamnhado para assinatura do Reitor.;GR;0
